brands,countries,quantity,categories,labels,nutriscore_grade,ecoscore_grade,nova_group,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,total_macronutrients,sugar_carb_ratio,saturated_fat_ratio,fiber_carb_ratio,protein_energy_pct,carb_energy_pct,fat_energy_pct,macronutrient_balance
سيدي علي,Morocco,33 cl,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","Vegetarian, Vegan",a,not-applicable,4.0,0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,0.0,4.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,4.2
perly,"Morocco,United States",100 g,"Dairies,Fermented foods,Fermented milk products,Snacks,Desserts,Dairy desserts,Fermented dairy desserts,Plain fermented dairy desserts,Plain fermented dairy desserts with cream","Vegetarian, Vegan",unknown,b,3.0,97.0,3.0,1.5,9.4,4.2,2.9,8.0,0.39,0.156,20.4,0.44680851063829785,0.5,0.30851063829787234,32.98969072164948,38.76288659793815,27.835051546391753,4.35
Sidi Ali,Morocco,2 L,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",Green Dot,a,not-applicable,1.0,280.0,7.02,1.5,18.0,4.2,2.9,6.2,0.065,0.026,31.22,0.23333333333333334,0.2136752136752137,0.1611111111111111,8.857142857142858,25.71428571428571,22.564285714285713,3.0174563591022445
"Les Eaux Minérales d'oulmès,Sidi Ali",Morocco,"1,5 L","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","ISO 22000,ISO 14001,ISO 45001,ISO 9001",a,not-applicable,1.0,280.0,7.02,1.5,18.0,4.2,2.9,6.2,0.065,0.026,31.22,0.23333333333333334,0.2136752136752137,0.1611111111111111,8.857142857142858,25.71428571428571,22.564285714285713,3.0174563591022445
AQUAFINA,المغرب,33cl,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table","Vegetarian, Vegan",a,not-applicable,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.000203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaouda,Morocco,450 ml,"Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks","Vegetarian, Vegan",b,d,3.0,45.0,1.5,1.0,4.9,0.0,2.9,3.1,0.225,0.09,9.5,0.0,0.6666666666666666,0.5918367346938775,27.555555555555557,43.55555555555556,30.0,3.2
Cristaline,"Belgium,Côte d'Ivoire,France,Germany,Guadeloupe,Italy,Luxembourg,Mali,Martinique,New Caledonia,Switzerland,United Kingdom",1500 ml,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","Triman,it:acqua-di-sorgente",a,not-applicable,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILKY FOOD PROFESSIONAL,Morocco,1kg,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures","Vegetarian, Vegan",a,a,3.0,80.6,12.0,0.0,6.1,0.0,0.0,7.3,0.0,0.0,25.400000000000002,0.0,0.0,0.0,36.22828784119107,30.272952853598017,100.0,1.0307692307692307
Jaouda,"Democratic Republic of the Congo,Mauritania,Morocco,United States",1L,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT",No gluten,b,d,1.0,58.0,3.0,0.0,4.8,0.0,2.9,3.0,0.0,0.0,10.8,0.0,0.0,0.6041666666666666,20.689655172413794,33.10344827586207,46.55172413793103,1.95
Jaouda,"Maroc,en:morocco",160g,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",en:No gluten,d,d,4.0,235.0,21.0,14.55,3.5,0.0,0.0,8.0,0.46,0.184,32.5,0.0,0.6928571428571428,0.0,13.617021276595745,5.957446808510639,80.42553191489363,0.5227272727272727
