code,product_name,brands,countries,quantity,categories,labels,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
6111035000430,Sidi Ali,سيدي علي,Morocco,33 cl,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",,a,not-applicable,,OBD1 999 999 1112606 266963207 mb,0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,0.0
6111242100992,perly,perly,"Morocco,United States",100 g,"Dairies,Fermented foods,Fermented milk products,Snacks,Desserts,Dairy desserts,Fermented dairy desserts,Plain fermented dairy desserts,Plain fermented dairy desserts with cream",,unknown,b,3.0,"milk cream, cream, sugar, banana, bacteria",97.0,3.0,,9.4,,,8.0,,
6111035002175,Sidi Ali,Sidi Ali,Morocco,2 L,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",Green Dot,a,not-applicable,1.0,"Sodium, Calcium, Magnésium, Potassium, Bicarbonates, Sulfates, Chlorures,",,,,,,,,0.065,0.026
6111035000058,Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali",Morocco,"1,5 L","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","ISO 22000,ISO 14001,ISO 45001,ISO 9001",a,not-applicable,1.0,100% mineral water,,,,,,,,0.065,0.026
6111252421568,اكوافينا,AQUAFINA,المغرب,33cl,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table",,a,not-applicable,,ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.000203
6111266962187,Lait,Jaouda,Morocco,450 ml,"Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks",,b,d,3.0,Lait frais pasteurisé demi-écrémé à 15g/l de matière grasse,45.0,1.5,1.0,4.9,0.0,,3.1,0.225,0.09
3274080005003,Eau De Source,Cristaline,"Belgium,Côte d'Ivoire,France,Germany,Guadeloupe,Italy,Luxembourg,Mali,Martinique,New Caledonia,Switzerland,United Kingdom",1500 ml,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","Triman,it:acqua-di-sorgente",a,not-applicable,1.0,Eau de source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.021
6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL,Morocco,1kg,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures",,a,a,3.0,"Ferments lactiques, Présure, Sel.",80.6,12.0,0.0,6.1,0.0,0.0,7.3,0.0,0.0
6111242101180,uht jaouda 1L,Jaouda,"Democratic Republic of the Congo,Mauritania,Morocco,United States",1L,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT",No gluten,b,d,1.0,Lait entier,58.0,3.0,0.0,4.8,0.0,,3.0,0.0,0.0
6111242106949,Jben,Jaouda,"Maroc,en:morocco",160g,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",en:No gluten,d,d,4.0,"lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques
matière grasse 21%",235.0,21.0,15.0,3.5,0.0,0.0,8.0,0.46,0.184
6111128000071,Ain Saïss,Danone,Maroc,1.5 l,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté",,a,not-applicable,1.0,Eau minérale naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6111035502828,Eau minéral naturelle,Ain atlas,Morocco,33cl,"Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",Green Dot,a,not-applicable,,0800 94 Aïn Atlas EAU MINÉRALE NATURELLE 55 VOTRE CAFÉ POUR ACCOMPAGNER An Atlas ANNEMANG BLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6111035000027,6111035000027,Sidi Ali,Maroc,50 cl,Eaux minérales naturelles,"Point Vert,en:Maroc",a,not-applicable,,"Composition minérale en mg/
Résidu sec à 110°C: 186
12 t S Sodium 26 tCalciumMagnésium9 tiiSulfates 42 i3 t H Chiorures 14Potassium
Bicarbonates 104 i Nitrates",0.0,0.0,0.0,0.0,0.0,,0.0,0.0065,0.0026
50184453,Marmite Yeast Extract,"Marmite,Unilever","France,Germany,Ireland,Italy,Netherlands,Spain,United Kingdom,United States",250g,Yeast extract spreads,"Vegetarian,Halal,Vegan,European Vegetarian Union,European Vegetarian Union Vegan,Halal Food Authority,Vitamin B source",e,unknown,4.0,"yeast extract, barley, wheat, oats, rye, salt, vegetable juice concentrate, thiamin, riboflavin, niacin, vitamin B12, folic acid, natural flavouring, celery",260.0,0.5,0.1,30.0,1.2,,34.0,10.8,4.32
6111242100985,,Jaouda,Maroc,80 g,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures",,a,b,1.0,"lait ecremé, créme, ferments lactiques. Matière grasse: 6% Poids net:90g",101.0,6.0,0.0,4.2,0.0,0.0,7.6,0.0,0.0
